,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
180,Garrett Temple,CHI,35,56,25,31,27.3,110.8,109.3,1.5,10.4,2.14,21.3,1.9,8.2,5.2,10,50.3,52.5,12.6,102.2,5.1,3254
180,Kendrick Nunn,MIA,25,56,31,25,29.5,111.1,111.6,-0.4,14,1.85,16.2,1.3,9.6,5.5,8.8,57.8,59.6,20.5,97.49,9.5,3355
180,Malcolm Brogdon,IND,28,56,27,29,34.5,110.6,111.1,-0.5,27.1,2.86,22,2.9,11.8,7.3,7.7,52.7,56.1,25.7,101.02,12.8,4056
180,Mason Plumlee,DET,31,56,14,42,26.8,109.1,114,-4.9,20.5,1.92,26.5,9.5,26.4,17.6,13.8,61.4,63.8,16.3,98.52,12.9,3076
180,Pascal Siakam,TOR,27,56,21,35,35.8,114.4,111.4,3,19.5,1.92,17,4.5,15.6,9.9,8.8,49.3,54.7,26.1,99.5,11.9,4161
180,Paul Millsap,DEN,36,56,38,18,20.8,116.2,111.5,4.7,11.3,1.92,16.6,6.7,16.7,11.7,8.6,53.7,56.5,18.4,96.76,9.8,2339
180,Sekou Doumbouya,DET,20,56,15,41,15.5,104.5,111.5,-6.9,8,1.07,11.7,4.5,11.7,8.2,10.9,42.6,45.9,17.6,99.17,4.5,1792
180,Semi Ojeleye,BOS,26,56,28,28,17,107.6,107.8,-0.2,5.4,1.76,12.6,3.2,12.1,7.6,7.2,53.4,55.3,11.4,99,6.3,1963
180,Will Barton,DEN,30,56,37,19,31,118.4,112.4,6,13.5,1.89,19.4,2.4,10.9,6.7,10.3,50.7,53.8,18.7,97.52,7.6,3535
189,Darius Bazley,OKC,21,55,16,39,31.2,100.7,113.8,-13.1,9.1,0.81,10,2.7,19.3,10.8,12.3,45.6,49.1,21.8,102.43,8.6,3659
189,Devonte' Graham,CHA,26,55,23,32,30.2,109.2,107.1,2.1,27.2,3.51,26.4,1.3,7.5,4.3,7.5,51,55.2,21.1,99.34,10.3,3444
189,Furkan Korkmaz,PHI,23,55,39,16,19.3,110.3,104.3,6,11.1,1.78,14,1.5,9,5.2,7.9,52,54.4,19.5,101.22,8.9,2243
189,Jeff Teague,MIL,33,55,27,28,17.3,113,110.3,2.8,18.2,2.06,25,1.6,7.4,4.6,12.1,49.6,56.2,17.4,101.9,7.9,2017
189,Kelly Oubre Jr.,GSW,25,55,27,28,30.7,105.2,109.8,-4.6,6.7,1.04,7.8,4.6,13.5,9.1,7.4,50.1,52.9,21.5,104.57,9,3667
189,Lonzo Ball,NOP,23,55,23,32,31.8,114.2,113.7,0.5,24.6,2.57,27.1,1.8,12.9,7.3,10.5,53.7,55.1,20.2,100.81,10.5,3683
189,Rodney Hood,TOR,28,55,29,26,17.1,107.4,114,-6.6,8.3,1.47,14.7,2.3,8.4,5.2,10,42.7,45.2,13.9,99.67,3.7,1957
196,Daniel Gafford,WAS,22,54,31,23,14.7,112.5,108.4,4.1,5.1,0.71,8.5,11.8,16,14,12,68.4,69.7,16.1,104.72,12.2,1717
196,Darius Garland,CLE,21,54,18,36,33.1,105.7,112.3,-6.6,29.8,2.01,24.4,1.3,6.2,3.7,12.1,51.7,54.7,24.5,98.78,10.1,3687
196,Deni Avdija,WAS,20,54,25,29,23.3,107.8,109.9,-2.1,6.4,1.91,14.8,1.7,18.1,9.9,7.7,50.2,51.5,11.8,106.28,6,2773
196,Drew Eubanks,SAS,24,54,21,33,14,103.6,108.2,-4.6,8.6,0.93,12.4,9,20.7,14.8,13.2,57.1,61.8,16.6,102.29,11.5,1599
196,Jerami Grant,DET,27,54,15,39,33.9,108.3,111.5,-3.2,14.5,1.39,11.3,1.8,11.8,6.7,8.1,49.1,55.6,27.8,99.21,11.4,3783
196,Kira Lewis Jr.,NOP,20,54,23,31,16.7,108.9,108.1,0.8,19.1,3.65,24,1.2,6.4,3.7,6.6,44.5,47.7,17.6,102.61,6.4,1937
196,Kyrie Irving,BKN,29,54,36,18,34.9,119.4,113.8,5.6,26.9,2.49,19.9,2.9,10.1,6.7,8,57.6,61.4,29.7,101.13,14.9,3976
196,Miye Oni,UTA,23,54,45,9,9.6,108.4,99.5,8.8,7.1,1.75,19.2,4.3,10.6,7.6,11,50.5,51.7,9.5,101.61,4,1097
196,Paul George,LAC,31,54,38,16,33.7,118.3,107,11.3,23.9,1.56,18.6,2.6,17.1,10.1,11.9,55.7,59.8,29.6,97.55,14.5,3707
196,Tristan Thompson,BOS,30,54,27,27,23.8,111.9,110.9,1,7.3,1.08,13.2,12.4,21.2,16.7,12.2,51.8,54,14.4,99.66,9.3,2670
196,Tyler Herro,MIA,21,54,29,25,30.3,107.7,110.6,-2.9,18.4,1.82,17.9,1.5,14.4,8.1,9.8,51.6,54.3,22.5,98.46,10.8,3360
196,Wendell Carter Jr.,ORL,22,54,21,33,25.5,104.5,113.5,-9,11.6,1.33,14.5,9.1,21.9,15.4,10.9,52,56.6,18.8,100.67,11.5,2893
208,Aron Baynes,TOR,34,53,20,33,18.5,106.6,111,-4.4,7,1.02,11.4,8.2,19.2,13.5,11.1,48.5,50.3,15.7,101.31,7,2074
208,Ben McLemore,LAL,28,53,20,33,17.1,105,109.2,-4.2,6.4,0.93,8.4,1.5,9.1,5.1,9.1,50.3,52.3,19.2,103.95,5.3,1952
208,Caleb Martin,CHA,25,53,23,30,15.4,104.7,109.5,-4.9,12.3,2.03,17.5,3.6,12.5,8.1,8.6,43.6,46.5,16.4,99.93,6.7,1696
208,Donovan Mitchell,UTA,24,53,39,14,33.4,117.1,109.2,7.9,26.6,1.88,16.8,2.8,9.5,6.3,8.9,52,56.9,32.7,99.99,13.8,3688
208,Edmond Sumner,IND,25,53,23,30,16.2,111.8,112.2,-0.4,7.5,0.96,11.8,2,8.3,5.2,12.2,58.7,62.6,17.6,105.9,7.2,1889
208,Juan Toscano-Anderson,GSW,28,53,28,25,20.9,109.4,105.6,3.8,18.1,2.46,34.6,2.6,17.2,10.2,14.1,66.7,67.6,10.8,104.08,9.8,2404
208,Willie Cauley-Stein,DAL,27,53,29,24,17.1,114.4,105,9.4,5.3,1.21,12.4,7.3,17.5,12.6,10.3,63.5,64.7,12,99,8.4,1851
215,Cody Martin,CHA,25,52,26,26,16.3,109.1,108.1,1,13.8,2.15,25.9,5.9,12.6,9.2,12,48.4,50,12.3,100.16,7.3,1762
215,De'Anthony Melton,MEM,23,52,27,25,20.1,111.4,105.4,6,17.2,2,21.6,2.6,11.8,7.2,10.8,54.8,56.8,18.9,102.73,10,2230
215,Fred VanVleet,TOR,27,52,22,30,36.5,113.6,110.2,3.3,26.4,3.45,23.8,1.6,10.1,5.7,6.9,48.9,53.4,23.7,99.17,11.5,3927
215,Hamidou Diallo,DET,22,52,18,34,23.6,102,110.6,-8.6,13.3,1.33,13.8,4.6,16.1,10.5,10.4,50.6,54.1,21.8,100.59,9.9,2583
215,Jimmy Butler,MIA,31,52,33,19,33.6,112.1,106.9,5.2,34.5,3.39,26.5,5.6,15.3,10.5,7.8,51.4,60.7,25.9,97.73,18.4,3557
215,Juancho Hernangomez,MIN,25,52,19,33,17.3,110.5,115.4,-4.9,5.5,1.3,8.7,4.7,17.7,11,6.7,52.7,54.9,16.7,102.74,8.5,1937
215,Kawhi Leonard,LAC,30,52,36,16,34.1,121.4,109.2,12.2,23.8,2.56,19.2,3.4,16.1,9.9,7.5,56.8,62.2,28.2,97.48,17,3603
